Season,Name,Team,Cl,Ht,Pos,G,FGM,3FG,FT,PTS,PPG,FGA,FG%,3PG,3FGA,3FG%,FTA,FT%,REB,RPG,AST,APG,BLKS,BKPG,ST,STPG,TO,Ratio,Trpl Dbl,Dbl Dbl,MP,MPG,ORebs,DRebs
2018-2019,Shamorie Ponds,St. John's (NY),Jr.,6-1,G,33,216,65,153,650,19.7,477,45.3,,,,183,83.6,,,169,5.1,,,87,2.64,65,2.60,,,1158:27,35:06,,
2018-2019,ShanQuan Hemphill,Green Bay,Jr.,6-6,F,38,188,,70,,,355,,,,,147,,,,,,,,,,,,,5,,,,
2018-2019,Shane Gatling,Colorado,Jr.,6-2,G,36,,59,,,,,,,185,,,,,,,,,,,,,,,,,,,
2018-2019,Shannon Bogues,SFA,Sr.,6-2,G,30,178,66,114,536,17.9,424,,2.20,,,145,78.6,,,108,3.6,,,,,,,,,1083:04,36:06,,
2018-2019,Shaq Buchanan,Murray St.,Sr.,6-3,G,33,,,,,,,,,,,,,,,,,,,60,1.82,,,,,1100:56,33:21,,
2018-2019,Shaquille Doorson,Rutgers,Sr.,7-0,C,31,,,,,,,,,,,,,,,,,32,1.03,,,,,,,,,,
2018-2019,Shareef Smith,Eastern Ill.,Jr.,5-10,G,32,,,,,,,,,,,,,,,123,3.8,,,,,80,1.54,,,,,,
2018-2019,Shaun Doss Jr.,Ark.-Pine Bluff,Jr.,6-5,F,32,,,127,,,,,,,,188,,,,,,,,,,,,,,,,,
2018-2019,Shawn Roundtree,Central Mich.,Sr.,-,G,34,167,76,153,563,16.6,,,2.24,178,,194,78.9,,,,,,,,,,,,,1173:32,34:30,,
2018-2019,Shawn Williams,East Carolina,So.,6-1,G,26,,70,,,,,,2.69,195,35.9,,,,,,,,,,,,,,,899:49,34:36,,
2018-2019,Shelton Mitchell,Clemson,Sr.,6-3,G,32,,,80,,,,,,,,96,83.3,,,,,,,,,,,,,,,,
2018-2019,Sherwyn Devonish-Prince Jr.,Morgan St.,Fr.,6-1,G,30,,,97,,,,,,,,112,86.6,,,,,,,,,,,,,,,,
2018-2019,Shizz Alston,Temple,Sr.,6-4,G,33,207,99,138,651,19.7,511,,3.00,283,35.0,152,90.8,,,166,5.0,,,49,1.48,84,1.98,,,1223:33,37:04,,
2018-2019,Sidney Umude,Southern U.,Sr.,6-7,F,32,160,,,,,336,47.6,,,,,,,,,,,,,,,,,,,,,
2018-2019,Simeon Carter,Ga. Southern,Jr.,6-8,F,28,,,,,,,,,,,,,,,,,38,1.36,,,,,,,,,,
2018-2019,Simisola Shittu,Vanderbilt,Fr.,6-10,F,32,,,87,,,,,,,,151,,214,6.7,,,,,,,,,,5,,,,162
2018-2019,Sincere Carry,Duquesne,Fr.,6-1,G,28,,,,,,,,,,,,,,,161,5.8,,,68,2.43,83,1.94,,,937:56,33:29,,
2018-2019,Skylar Mays,LSU,Jr.,6-4,G,35,,,129,,,,,,,,150,86.0,,,,,,,66,1.89,,,,,1158:34,,,
2018-2019,Skyler Flatten,South Dakota St.,Sr.,6-6,G,33,185,84,56,510,15.5,358,51.7,2.55,191,44.0,,,,,,,,,,,,,,,1205:05,36:31,,
2018-2019,Sloan Seymour,Siena,Fr.,6-9,F,33,,94,,,,,,2.85,252,37.3,,,,,,,,,,,,,,,,,,
2018-2019,Stacy Beckton Jr.,American,So.,6-4,G,30,,,,,,,,,,,,,,,,,36,1.20,41,1.37,,,,,,,,
2018-2019,Stanley Jr. Davis,Morgan St.,Jr.,6-5,G,29,,,79,,,,,,,,99,79.8,207,7.1,,,,,,,,,,5,,,,145
2018-2019,Stanley Umude,South Dakota,So.,6-6,G,30,156,,,,,318,49.1,,,,,,,,,,37,1.23,,,,,,,,,,
2018-2019,Steffon Mitchell,Boston College,So.,6-8,F,27,,,,,,,,,,,,,213,7.9,,,32,1.19,,,,,,,,,75,138
2018-2019,Stephen Thompson Jr.,Oregon St.,Sr.,6-4,G,31,183,61,71,498,16.1,428,,,198,,,,,,100,,,,48,1.55,62,1.61,,,1134:24,36:35,,
2018-2019,Sterling Taplin,Tulsa,Sr.,6-1,G,32,,,,,,,,,,,,,,,131,4.1,,,,,75,1.75,,,,,,
2018-2019,Steve Julian,Cornell,Sr.,6-6,F,31,,,,,,,,,,,,,,4.84,,,47,1.52,,,,,,,,,,150
2018-2019,Steven Santa Ana,Elon,Sr.,6-4,G,31,167,71,91,496,16.0,363,46.0,2.29,194,,,,,5.48,,,,,,,,,,,,,,170
2018-2019,Steven Whitley,Norfolk St.,Jr.,6-3,G,34,,,,,,,,,,,,,,,135,4.0,,,51,1.50,,,,,,,,
2018-2019,Stevie Jordan,Rider,Jr.,6-0,G,30,,,,,,,,,,,,,,,132,4.4,,,56,1.87,86,1.53,,,,,,
2018-2019,Stokley Chaffee,Tennessee St.,Sr.,6-8,F,30,,,,,,,,,,,,,,2.37,,,32,1.07,,,,,,,,,71,
2018-2019,Storm Murphy,Wofford,So.,5-11,G,34,,,,,,,,,,,,,,,112,,,,,,41,2.73,,,,,,
2018-2019,Stuckey Mosley,James Madison,Sr.,6-4,G,33,194,95,58,541,16.4,487,,2.88,259,36.7,,,,,,,,,,,,,,,1157:28,35:04,,
2018-2019,T.J. Gibbs,Notre Dame,Jr.,6-3,G,32,138,67,,,,398,,,211,,,,,,109,,,,,,37,2.95,,,1154:38,36:04,,
2018-2019,TJ Haws,BYU,Jr.,6-4,G,32,174,57,165,570,17.8,376,46.3,,,,190,86.8,,,162,5.1,,,,,75,2.16,,,1067:25,33:21,,
2018-2019,TJ Shorts II,UC Davis,Sr.,5-9,G,29,163,,,,,328,49.7,,,,,,,,126,4.3,,,46,1.59,,,,,,,,
2018-2019,TJ Starks,Texas A&M,So.,6-2,G,27,,,,,,,,,,,,,,,94,3.5,,,,,,,,,,,,
2018-2019,TJ Washington,Utah Valley,Jr.,6-0,G,35,,,,,,,,,,,,,,,136,3.9,,,,,,,,,,,,
2018-2019,Tacko Fall,UCF,Sr.,7-6,C,33,,,59,,,,,,,,163,,251,7.6,,,85,2.58,,,,,,7,,,84,167
2018-2019,Tahj Eaddy,Santa Clara,So.,6-1,G,31,,77,85,,,,,2.48,203,,106,80.2,,,98,,,,,,62,1.58,,,1100:26,35:29,,
2018-2019,Tahjai Teague,Ball St.,Jr.,6-8,F,33,174,,,,,317,54.9,,,,,,248,7.5,,,,,44,,,,,5,,,65,183
2018-2019,Taishaun Johnson,Prairie View,Jr.,6-0,G,35,,,104,,,,,,,,135,77.0,,,,,,,,,,,,,,,,
2018-2019,Tajuan Agee,Iona,Jr.,6-9,F,33,,,,,,,,,,,,,265,8.0,,,,,,,,,,9,,,60,205
2018-2019,Takal Molson,Canisius,So.,6-5,G,32,176,55,135,542,16.9,417,,,205,,179,,,,,,,,,,,,,,,,,
2018-2019,Talen Horton-Tucker,Iowa St.,Fr.,6-4,G,35,,,,,,,,,,,,,,,,,,,45,,,,,,,,,
2018-2019,Tamenang Choh,Brown,So.,6-5,F,32,,,120,,,,,,,,183,,276,8.6,,,,,,,,,,11,,,71,205
2018-2019,Tanner Borchardt,Nebraska,Sr.,6-8,F,36,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,89,
2018-2019,Tariq Owens,Texas Tech,Sr.,6-10,F,38,,,,,,,,,,,,,219,,,,92,2.42,,,,,,,,,81,138
2018-2019,Tarkus Ferguson,UIC,Jr.,6-4,G,32,163,100,69,495,15.5,398,,3.13,272,36.8,,,216,6.8,166,5.2,,,47,1.47,103,1.61,1,7,1169:41,36:33,14,202
2018-2019,Taveion Hollingsworth,Western Ky.,So.,6-2,G,34,175,,91,,,419,,,,,118,77.1,,,,,,,,,,,,,1249:30,36:45,,
2018-2019,Tay Weaver,Eastern Ky.,Jr.,5-10,G,30,,85,,,,,,2.83,237,35.9,,,,,,,,,,,,,,,,,,
2018-2019,Tayler Persons,Ball St.,Sr.,6-3,G,33,199,45,108,551,16.7,451,,,,,135,80.0,,,143,4.3,,,,,,,,,,,,
2018-2019,Taze Moore,CSU Bakersfield,So.,6-5,F,30,,,,,,,,,,,,,,,,,,,42,1.40,,,,,,,,
2018-2019,Temidayo Yussuf,Long Beach St.,Sr.,6-7,F,28,,,,,,,,,,,,,,2.25,,,,,,,,,,5,,,63,
2018-2019,Terance Mann,Florida St.,Sr.,6-6,G,37,,,98,,,,,,,,124,79.0,240,2.49,,,,,,,,,,,1173:08,,92,148
2018-2019,Terence Davis,Ole Miss,Sr.,6-4,G,33,179,,,,,403,44.4,,,,,,,,114,3.5,,,54,1.64,,,,,,,,
2018-2019,Terrance Banyard,Ark.-Pine Bluff,So.,6-8,F,32,,,,,,,,,,,,,,,,,34,1.06,,,,,,,,,,
2018-2019,Terrell Allen,UCF,Jr.,6-3,G,33,,,,,,,,,,,,,,,142,4.3,,,,,56,2.54,,,,,,
2018-2019,Terrell Brown,New Mexico St.,Jr.,6-1,G,34,,,104,,,,,,,,134,77.6,,,,,,,,,,,,,,,,
2018-2019,Terrell Brown,Pittsburgh,So.,6-10,C,33,,,,,,,,,,,,,,,,,60,1.82,,,,,,,,,,
2018-2019,Terrell Brown Jr.,Seattle U,So.,6-3,G,33,181,,,,,397,45.6,,,,,,226,6.8,150,4.5,,,,,79,1.90,,7,1101:46,33:23,47,179
2018-2019,Terrell Gomez,CSUN,So.,5-8,G,34,214,117,107,652,19.2,476,45.0,3.44,279,41.9,122,87.7,,,,,,,,,,,,,1282:30,37:43,,
2018-2019,Terry Taylor,Austin Peay,So.,6-5,F,33,258,50,109,675,20.5,486,53.1,,,,147,,294,8.9,,,,,,,,,,12,,,111,183
2018-2019,Terry Winn III,UTRGV,Sr.,6-6,F,37,,,134,,,,,,,,188,,,,,,,,,,,,,,,,,
2018-2019,Tevin Brown,Murray St.,Fr.,6-5,G,33,,90,,,,,,2.73,242,37.2,,,,,,,,,,,,,,,,,,
2018-2019,Tevin King,South Dakota St.,Sr.,6-2,G,33,,,,,,,,,,,,,,5.03,140,4.2,,,59,1.79,78,1.79,,,,,,166
2018-2019,Teyvion Kirk,Ohio,So.,6-4,G,31,174,,78,,,415,,,,,148,,,,,,,,,,,,,,,,,
2018-2019,Thatch Unruh,Central Ark.,Sr.,6-5,G,33,,69,,,,,,,187,,,,,,,,,,,,,,,,,,,
2018-2019,Theo Akwuba,Portland,Fr.,6-11,C,30,,,,,,,,,,,,,,,,,46,1.53,,,,,,,,,,
2018-2019,Theo John,Marquette,So.,6-9,F,34,,,,,,,,,,,,,,,,,70,2.06,,,,,,,,,,
2018-2019,Thik Bol,Southern Ill.,Sr.,6-8,F,29,,,,,,,,,,,,,,,,,31,1.07,,,,,,,,,,
2018-2019,Thomas Dziagwa,Oklahoma St.,Jr.,6-4,G,32,,105,,,,,,3.28,247,42.5,,,,,,,,,,,,,,,,,,
2018-2019,Tommy Funk,Army West Point,Jr.,5-11,G,32,,,,,,,,,,,,,,,189,5.9,,,,,91,2.08,,,,,,
2018-2019,Tookie Brown,Ga. Southern,Sr.,5-11,G,33,198,40,136,572,17.3,399,49.6,,,,178,,,,154,4.7,,,44,,77,2.00,,,1162:28,35:13,,
2018-2019,Torin Dorn,NC State,Sr.,6-6,G,36,209,,63,504,,434,48.2,,,,,,260,7.2,,,,,,,,,,6,,,80,180
2018-2019,Traci Carter,La Salle,Jr.,6-0,G,31,,,,,,,,,,,,,,,101,,,,57,1.84,59,1.71,,,,,,
2018-2019,Trae Berhow,UNI,So.,6-5,G,34,,,,,,,,,,,,,,5.03,,,,,,,,,,,,,,171
2018-2019,Tramaine Isabell Jr.,Saint Louis,Sr.,6-1,G,35,164,,,,,399,,,,,,,,,127,3.6,,,,,,,,,1141:13,,,
2018-2019,Travis Fields,Radford,Jr.,5-9,G,32,,,,,,,,,,,,,,,97,,,,48,1.50,49,1.98,,,,,,
2018-2019,Travis Munnings,ULM,Sr.,6-6,F,35,184,72,92,532,,405,45.4,,189,,,,274,7.8,,,,,,,,,,6,1273:41,36:23,78,196
2018-2019,Travis Weatherington,Hartford,Sr.,6-2,G,33,,73,,,,,,2.21,172,,,,,,,,,,,,,,,,,,,
2018-2019,Travon Bell,Chicago St.,So.,6-3,G,29,,64,,,,,,2.21,,,,,,,,,,,,,,,,,,,,
2018-2019,Travon Bunch,Grambling,Jr.,7-1,-,29,,,,,,,,,,,,,,,,,43,1.48,,,,,,,,,,
2018-2019,Tray Boyd III,ETSU,Jr.,6-4,G,34,,82,,,,,,2.41,223,,,,,,,,,,,,,,,,,,,
2018-2019,Trayvon Reed,Texas Southern,Jr.,7-2,C,22,,,,,,,,,,,,,,,,,32,,,,,,,5,,,,
2018-2019,Tre Jones,Duke,Fr.,6-2,G,36,,,,,,,,,,,,,,,192,5.3,,,68,1.89,53,3.62,,,1232:45,34:14,,
2018-2019,Tre Scott,Cincinnati,Jr.,6-8,F,35,,,,,,,,,,,,,240,6.9,,,,,,,,,,5,,,82,158
2018-2019,Tre'Larenz Nottingham,Texas St.,Sr.,6-2,G,34,146,87,,,,410,,2.56,281,31.0,,,,,,,,,,,,,,,,,,
2018-2019,Tremont Waters,LSU,So.,5-11,G,33,172,,104,504,,400,,,,,128,81.3,,,192,5.8,,,96,2.91,114,1.68,,,,,,
2018-2019,Trent Forrest,Florida St.,Jr.,6-5,G,36,,,113,,,,,,,,145,77.9,,,138,3.8,,,69,1.92,74,1.86,,,1104:31,,,
2018-2019,Trent Frazier,Illinois,So.,6-2,G,32,,80,,,,,,2.50,197,40.6,,,,,,,,,44,1.38,,,,,,,,
2018-2019,Trent Harris,Northern Colo.,Jr.,6-1,G,32,,73,,,,,,2.28,196,,,,,,,,,,,,,,,,,,,
2018-2019,Tres Tinkle,Oregon St.,Jr.,6-8,F,30,215,53,141,624,20.8,445,48.3,,,,183,77.0,243,8.1,115,3.8,,,52,1.73,,,,10,1093:49,36:27,60,183
2018-2019,Trevon Allen,Idaho,Jr.,6-2,G,32,173,,,,,407,,,,,,,,,98,,,,,,63,1.56,,,,,,
2018-2019,Trevond Barnes,Hampton,Sr.,6-9,F,35,,,,,,,,,,,,,,,,,59,1.69,,,,,,,,,,
2018-2019,Trevor John,Drexel,Sr.,6-3,G,32,,103,,,,,,3.22,250,41.2,,,,,,,,,,,,,,,,,,
2018-2019,Trey Drechsel,Grand Canyon,Sr.,6-6,G,34,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,170
2018-2019,Trey Landers,Dayton,Jr.,6-5,G,32,,,,,,,,,,,,,214,6.7,,,,,,,,,,,,,,157
2018-2019,Trey McGowens,Pittsburgh,Fr.,6-4,G,33,,,126,,,,,,,,165,,,,,,,,64,1.94,,,,,,,,
2018-2019,Trey Moses,Ball St.,Sr.,6-9,C,32,,,,,,,,,,,,,221,6.9,,,40,1.25,,,,,,,,,60,161
2018-2019,Trey Touchet,McNeese,Sr.,6-2,G,29,,,,,,,,,,,,,,,87,,,,,,33,2.64,,,,,,
2018-2019,Trey Wertz,Santa Clara,Fr.,6-5,G,31,,,,,,,,,,,,,,,146,4.7,,,,,,,,,,,,
2018-2019,Trhae Mitchell,South Alabama,Jr.,6-6,F,34,175,,,,,366,47.8,,,,,,257,7.6,122,3.6,71,2.09,,,82,1.49,,9,1165:14,34:16,46,211
2018-2019,Tripp Davis,Tennessee St.,Jr.,6-3,G,30,,,,,,,,,,,,,,,,,,,45,1.50,,,,,,,,
2018-2019,Tristan Clark,Baylor,So.,6-10,F,14,,,,,,,,,,,,,,,,,34,,,,,,,,,,,
2018-2019,Triston Simpson,South Dakota,Jr.,6-1,G,30,,,113,,,,,,,,142,79.6,,,108,3.6,,,,,64,1.69,,,1112:15,37:04,,
2018-2019,Troy Baxter Jr,FGCU,So.,6-9,F,30,,,,,,,,,,,,,,,,,33,1.10,,,,,,,,,,
2018-2019,Troy Green,New Orleans,So.,6-3,G,32,,,,,,,,,,,,,,,,,,,47,1.47,,,,,,,,
2018-2019,Troy Harper,Drexel,Sr.,6-1,G,27,130,23,159,442,16.4,,,,,,205,77.6,,,,,,,,,,,,,,,,
2018-2019,Troymain Crosby,Alcorn,So.,6-4,G,28,,,89,,,,,,,,114,78.1,,,,,,,,,,,1,,,,,
2018-2019,Tucker Richardson,Colgate,Fr.,6-5,G,35,,,,,,,,,,,,,,,132,3.8,,,44,,73,1.81,,,1149:29,,,
2018-2019,Tulio Da Silva,Missouri St.,Jr.,6-8,F,27,150,,,,,271,55.4,,,,,,201,7.4,,,,,,,,,,,,,63,138
2018-2019,Ty Cockfield,Arkansas St.,Sr.,6-1,G,32,237,69,173,716,22.4,540,,2.16,194,,211,82.0,,,,,,,,,,,,,1121:17,35:02,,
2018-2019,Ty Gadsden,UNCW,So.,6-1,G,29,,66,85,,,,,2.28,,,98,86.7,,,,,,,,,,,,,,,,
2018-2019,Ty Jerome,Virginia,Jr.,6-5,G,37,178,79,67,502,,409,,2.14,198,,,,,,202,5.5,,,57,1.54,61,3.31,,,1256:51,33:58,,
2018-2019,Ty Outlaw,Virginia Tech,Sr.,6-6,F,35,,79,,,,,,2.26,174,,,,,,,,,,,,,,,,,,,
2018-2019,Ty-Shon Alexander,Creighton,So.,6-4,G,34,176,97,85,534,15.7,433,,2.85,266,36.5,107,79.4,,,,,,,,,,,,,1117:49,,,
2018-2019,Tyere Marshall,Rider,Jr.,6-9,F,30,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,74,
2018-2019,Tyler Bey,Colorado,So.,6-7,G,36,184,,115,,,340,54.1,,,,147,78.2,356,9.9,,,44,1.22,,,,,,17,,,78,278
2018-2019,Tyler Cook,Iowa,Jr.,6-9,C,33,174,,130,,,341,51.0,,,,202,,252,7.6,,,,,,,,,,6,,,71,181
2018-2019,Tyler Hall,Montana St.,Sr.,6-5,G,32,233,116,75,657,20.5,521,44.7,3.63,308,37.7,,,,,,,,,,,,,,,1070:54,33:27,,
2018-2019,Tyler Harris,Memphis,Fr.,5-9,G,36,,79,,,,,,2.19,251,,,,,,,,,,,,,,,,,,,
2018-2019,Tyler Herro,Kentucky,Fr.,6-5,G,37,186,,87,519,,403,46.2,,,,,,,,,,,,,,,,,,1207:13,,,
2018-2019,Tyler Hooker,Kennesaw St.,Jr.,6-0,G,31,200,35,153,588,19.0,509,,,,,184,83.2,,,,,,,47,1.52,,,,,1122:48,36:13,,
2018-2019,Tyler Kohl,Central Conn. St.,Sr.,6-5,F,27,155,41,139,490,18.1,393,,,,,164,84.8,188,7.0,123,4.6,,,38,1.41,,,1,7,926:08,34:18,,143
2018-2019,Tyler Scanlon,Boston U.,Jr.,6-7,F,32,165,,,,,357,46.2,,,,,,,,106,,,,44,1.38,72,1.47,,,1071:06,33:28,,
2018-2019,Tyler Seibring,Elon,Sr.,6-8,F,32,191,77,68,527,16.5,396,48.2,2.41,187,,,,,,,,,,,,,,,5,,,,
2018-2019,Tyler Sharpe,Northern Ky.,Jr.,6-1,G,35,154,90,106,504,,,,2.57,235,38.3,136,77.9,,,,,,,52,1.49,,,,,1123:37,,,
2018-2019,Tyler Williams,San Diego,Sr.,6-5,G,36,,,,,,,,,,,,,,,,,,,,,,,,,1294:26,35:57,,
2018-2019,Tyree Appleby,Cleveland St.,So.,6-0,G,29,147,74,131,499,17.2,,,2.55,190,38.9,168,78.0,,,162,5.6,,,42,1.45,100,1.62,1,,,,,
2018-2019,Tyree Griffin,Southern Miss.,Sr.,5-10,G,31,160,,,,,358,44.7,,,,,,,,221,7.1,,,57,1.84,83,2.66,,,1065:52,34:22,,
2018-2019,Tyreese Davis,Jacksonville,Fr.,6-6,G,29,,,,,,,,,,,,,,,,,,,41,1.41,,,,,,,,
2018-2019,Tyreke Key,Indiana St.,So.,6-2,G,31,181,43,133,538,17.4,345,52.5,,,,169,78.7,,,,,,,,,,,,,1066:10,34:23,,
2018-2019,Tyrel Harper,Savannah St.,Jr.,6-7,F,30,,,,,,,,,,,,,,5.10,,,,,,,,,,5,,,,153
2018-2019,Tyrell Gumbs-Frater,Coastal Carolina,Jr.,6-3,G,34,,76,,,,,,2.24,173,,,,,,,,,,,,,,,,,,,
2018-2019,Tyrese Haliburton,Iowa St.,Fr.,6-5,G,35,,,,,,,,,,,,,,,125,3.6,,,54,1.54,28,4.46,,,1162:19,,,
2018-2019,Tyresse Williford,SIUE,Jr.,5-10,G,30,,,135,,,,,,,,175,77.1,,,110,3.7,,,,,,,,,,,,
2018-2019,Tyrik Armstrong,Texas Southern,Jr.,5-10,G,36,,,,,,,,,,,,,,,111,,,,52,1.44,52,2.13,,,,,,
2018-2019,Tyrique Jones,Xavier,Jr.,6-9,F,34,,,,,,,,,,,,,262,7.7,,,,,,,,,,10,,,114,148
2018-2019,Tyrn Flowers,LIU,So.,6-9,F,32,162,75,,,,343,47.2,2.34,193,,,,,4.91,,,44,1.38,,,,,,8,,,,157
2018-2019,Tyson Smith,UTRGV,Sr.,6-1,G,37,,71,,,,,,,195,,,,,,,,,,,,,,,,,,,
2018-2019,Tyson Ward,North Dakota St.,Jr.,6-6,G,34,,,,,,,,,,,,,,4.88,,,,,,,,,,,,,,166
2018-2019,Tyus Battle,Syracuse,Jr.,6-6,G,32,188,42,132,550,17.2,436,,,,,173,,,,,,,,,,,,,,1163:11,36:20,,
2018-2019,Umoja Gibson,North Texas,Fr.,6-1,G,33,,99,,,,,,3.00,252,39.3,,,,,,,,,46,1.39,,,,,,,,
2018-2019,Vado Morse,Mount St. Mary's,Fr.,6-0,G,30,,,102,,,,,,,,131,77.9,,,,,,,,,,,,,,,,
2018-2019,Vance Jackson,New Mexico,Fr.,6-8,F,32,,,,,,,,,,,,,224,7.0,,,,,,,,,,5,,,42,182
2018-2019,Vance Johnson,Milwaukee,Sr.,6-8,F,31,,,80,,,,,,,,93,86.0,,,,,,,,,,,,,,,,
2018-2019,Vasa Pusica,Northeastern,Sr.,6-5,G,27,151,59,108,469,17.4,313,48.2,2.19,,,129,83.7,,,111,4.1,,,40,1.48,,,,,936:59,34:42,,
2018-2019,Venjie Wallis,Jackson St.,Jr.,6-6,G,31,,,113,,,,,,,,175,,,,,,,,44,1.42,,,,,,,,
2018-2019,Vic Law,Northwestern,Sr.,6-7,F,30,,,92,,,,,,,,117,78.6,,5.37,,,,,,,,,,,,,,161
2018-2019,Vinnie Shahid,North Dakota St.,Jr.,5-11,G,35,,,107,,,,,,,,126,84.9,,,,,,,,,,,,,,,,
2018-2019,Von Julien,Southeastern La.,Jr.,6-1,G,33,,,,,,,,,,,,,,,136,4.1,,,,,91,1.49,,,1126:01,34:07,,
2018-2019,Wajid Aminu,North Florida,Jr.,6-7,F,33,,,,,,,,,,,,,,2.36,,,68,2.06,,,,,,7,,,78,
2018-2019,Wendell Mitchell,Texas A&M,Jr.,6-3,G,29,,,,,,,,,,,,,,,,,,,52,1.79,,,,,,,,
2018-2019,Will Rayman,Colgate,Jr.,6-9,F,35,,,,,,,,,,,,,227,,,,,,,,,,,,1157:41,,70,157
2018-2019,Willie Jackson,Toledo,Jr.,6-6,F,32,,,,,,,,,,,,,284,8.9,,,,,,,,,,9,,,77,207
2018-2019,Willy Nunez Jr.,FIU,Sr.,6-6,G,33,,79,,,,,,2.39,234,,,,,,,,,,,,,,,,,,,
2018-2019,Wyatt Walker,NC State,Sr.,6-9,C,36,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
2018-2019,Xavian Stapleton,Fla. Atlantic,Sr.,6-7,F,26,,58,,,,,,2.23,,,,,,,,,,,,,,,,,,,,
2018-2019,Xavier Bishop,Kansas City,Jr.,5-8,G,31,161,61,94,477,15.4,,,,,,118,79.7,,,118,3.8,,,,,,,,,1049:08,33:50,,
2018-2019,Xavier Hill-Mais,Oakland,Jr.,6-7,F,33,235,34,100,604,18.3,439,53.5,,,,143,,237,7.2,,,,,,,,,,6,,,73,164
2018-2019,Xavier Johnson,Pittsburgh,Fr.,6-3,G,33,159,37,157,512,15.5,,,,,,209,,,,149,4.5,,,,,,,,,,,,
2018-2019,Xavier Sneed,Kansas St.,Jr.,6-5,F,33,,,,,,,,,,,,,,,,,,,45,1.36,,,,,,,,
2018-2019,Xavier Tillman,Michigan St.,So.,6-8,F,39,,,,,,,,,,,,,284,7.3,,,65,1.67,,,,,,5,,,96,188
2018-2019,Yauhen Massalski,San Diego,So.,6-9,F,33,,,,,,,,,,,,,,,,,49,1.48,,,,,,,,,,
2018-2019,Yoeli Childs,BYU,Jr.,6-8,F,32,258,32,131,679,21.2,509,50.7,,,,185,,309,9.7,,,33,1.03,,,,,,17,,,66,243
2018-2019,Yor Anei,Oklahoma St.,Fr.,6-10,F,32,,,,,,,,,,,,,,,,,85,2.66,,,,,,,,,,
2018-2019,Zac Cuthbertson,Coastal Carolina,Sr.,6-7,F,34,200,44,174,618,18.2,410,48.8,,,,228,,277,8.1,,,,,,,,,,8,,,75,202
2018-2019,Zacarry Douglas,N.C. Central,Sr.,6-8,F,34,,,,,,,,,,,,,264,7.8,,,,,,,,,,6,,,59,205
2018-2019,Zach Braxton,Weber St.,Sr.,6-9,C,30,,,99,,,,,,,,145,,203,6.8,,,,,,,,,,,,,66,
2018-2019,Zach Cooks,NJIT,So.,5-11,G,35,216,73,112,617,17.6,479,45.1,,209,,153,,,,,,,,88,2.51,,,,,1304:23,37:16,,
2018-2019,Zach Glotta,Austin Peay,Sr.,6-0,G,33,,78,,,,,,2.36,190,,,,,,,,,,,,,,,,,,,
2018-2019,Zach Hankins,Xavier,Sr.,6-10,F,35,,,,,,,,,,,,,,2.17,,,54,1.54,,,,,,,,,76,
2018-2019,Zach Jackson,Omaha,Sr.,6-5,G,32,204,60,110,578,18.1,412,49.5,,,,145,,,,,,,,,,,,,,1092:45,34:08,,
2018-2019,Zach Johnson,Miami (FL),Sr.,6-2,G,32,,,,,,,,,,,,,,,,,,,53,1.66,,,,,,,,
2018-2019,Zach Norvell Jr.,Gonzaga,So.,6-5,G,37,182,97,91,552,,419,,2.62,262,37.0,,,,,116,,,,47,,53,2.19,,,1135:18,,,
2018-2019,Zach Pirog,California Baptist,Jr.,6-11,C,31,,,,,,,,,,,,,,,,,51,1.65,,,,,,,,,,
2018-2019,Zach Sellers,Savannah St.,Jr.,6-1,G,31,,,,,,,,,,,,,,,130,4.2,,,,,76,1.71,,,1058:46,34:09,,
2018-2019,Zachary Simmons,North Texas,So.,6-10,F,33,,,,,,,,,,,,,232,7.0,,,33,1.00,,,,,,,,,89,143
2018-2019,Zack Bryant,UAB,So.,6-2,G,34,181,,94,505,,416,,,,,,,,,134,3.9,,,62,1.82,77,1.74,,,1136:27,33:25,,
2018-2019,Zane Najdawi,The Citadel,Sr.,6-7,F,30,154,,,,,313,49.2,,,,,,219,7.3,,,59,1.97,,,,,,7,,,74,145
2018-2019,Zavier Simpson,Michigan,Jr.,6-0,G,37,,,,,,,,,,,,,,,244,6.6,,,53,1.43,74,3.30,1,5,1253:21,33:52,,
2018-2019,Zigmars Raimo,Hawaii,Jr.,6-7,F,31,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,73,
2018-2019,Zion Cousins,Howard,So.,6-8,F,34,,,,,,,,,,,,,243,7.1,,,35,1.03,,,,,,,,,78,165
2018-2019,Zion Williamson,Duke,Fr.,6-7,F,33,296,24,130,746,22.6,435,68.0,,,,203,,293,8.9,,,59,1.79,70,2.12,,,,14,,,116,177
2018-2019,Zylan Cheatham,Arizona St.,Jr.,6-8,F,34,,,115,,,,,,,,186,,351,10.3,,,,,,,,,1,14,1100:27,,73,278
2019-2020,A.J. Lawson,McNeese,Jr.,6-5,G,32,180,,90,478,,391,46.0,,,,140,,,,135,4.2,,,,,,,,,,,,
2019-2020,AJ Bramah,Robert Morris,Jr.,6-7,F,33,173,,96,,,304,56.9,,,,143,,269,8.2,,,,,,,,,,8,,,80,189
